ISO3,Country or territory,GNSI16,GNSI17,GNSI26,GNSI27,NB6,NB7,Political6,Political7,Educational6,Educational7,Economic6,Economic7,Physical6,Physical7
ARG,Argentina,71.08,71.93,39.81,35.03,28.92,28.07,42.00,34.68,16.57,13.85,29.13,25.03,51.96,57.74
ARM,Armenia,94.52,91.94,80.34,72.75,5.48,8.06,71.50,58.23,23.67,18.32,74.81,68.09,67.34,65.88
AUS,Australia,44.22,34.83,22.18,15.41,55.78,65.17,30.59,23.27,4.58,2.62,18.67,13.32,20.78,17.17
BRA,Brazil,89.80,84.45,51.16,47.42,10.20,15.55,43.41,39.91,9.40,9.75,35.41,31.06,79.54,75.69
CHL,Chile,74.22,79.74,42.45,52.39,25.78,20.26,43.21,59.03,20.87,24.32,29.13,35.88,54.22,55.53
CHN,China,92.84,91.81,71.42,68.42,7.16,8.19,61.53,57.80,24.35,21.07,57.75,56.49,79.06,74.44
COL,Colombia,91.55,91.18,57.46,59.01,8.45,8.82,50.28,54.14,10.83,18.16,33.78,28.16,82.80,81.58
CYP,Cyprus,81.64,80.48,53.35,57.86,18.36,19.52,51.40,49.03,14.47,15.82,45.39,52.74,54.14,57.59
ECU,Ecuador,93.37,92.09,58.77,61.86,6.63,7.91,46.44,51.92,23.52,22.29,36.42,38.65,84.36,80.83
DEU,Germany,57.57,37.45,28.44,13.27,42.43,62.55,22.59,13.18,13.62,4.21,28.84,15.37,40.25,23.06
HKG,"Hong Kong, China (SAR)",87.72,80.59,59.09,55.36,12.28,19.41,52.27,50.37,22.69,18.48,44.37,42.28,68.20,59.07
IRQ,Iraq,97.75,98.98,90.98,93.03,2.25,1.02,88.99,84.09,31.57,31.58,80.26,87.32,85.68,87.42
JPN,Japan,71.72,58.82,48.49,34.54,28.28,41.18,57.85,39.07,22.40,14.49,50.72,37.03,30.14,24.58
JOR,Jordan,99.57,98.46,96.05,92.30,0.43,1.54,91.88,84.03,28.75,24.46,89.61,87.41,81.69,81.35
KAZ,Kazakhstan,95.87,93.23,77.87,76.44,4.13,6.77,74.07,68.41,21.20,28.65,66.20,66.18,68.13,72.56
KOR,Korea (Republic of),85.25,89.88,61.35,75.10,14.75,10.12,63.16,72.85,22.44,33.73,51.86,65.54,55.97,59.20
KGZ,Kyrgyzstan,96.75,98.02,84.82,89.46,3.25,1.98,76.96,78.81,41.08,52.18,71.51,83.39,81.88,90.18
LBN,Lebanon,96.02,95.49,82.61,78.57,3.98,4.51,75.95,66.92,31.88,15.16,61.80,67.95,82.83,83.78
LBY,Libya,99.62,99.72,93.61,90.83,0.38,0.28,85.29,83.03,33.29,30.89,85.56,82.43,94.51,92.93
MYS,Malaysia,98.54,99.54,88.38,87.50,1.46,0.46,79.69,91.72,43.00,36.10,74.54,59.79,94.31,84.62
MEX,Mexico,87.70,90.09,50.85,59.52,12.30,9.91,41.61,58.01,20.79,18.75,29.23,32.87,75.79,72.83
MAR,Morocco,98.00,93.67,83.25,75.08,2.00,6.33,78.01,61.92,21.72,20.42,77.41,63.42,88.39,79.67
NLD,Netherlands,37.63,30.64,14.60,11.16,62.37,69.36,21.95,20.76,4.80,3.25,13.63,7.96,23.06,17.69
NZL,New Zealand,42.41,27.39,19.56,8.67,57.59,72.61,26.83,14.78,5.60,2.83,17.12,9.32,26.56,14.37
NGA,Nigeria,99.72,99.58,94.49,93.14,0.28,0.42,86.30,86.18,42.30,41.78,80.78,79.92,91.70,89.98
PAK,Pakistan,99.91,99.89,98.39,98.52,0.09,0.11,84.35,85.72,52.42,60.38,90.90,92.18,93.75,92.00
PER,Peru,89.22,88.50,51.89,50.00,10.78,11.50,39.78,40.71,14.59,14.32,28.06,32.26,81.58,76.33
PHL,Philippines,99.00,99.50,87.54,90.44,1.00,0.50,70.89,75.50,38.92,43.61,73.81,77.81,91.74,92.83
ROU,Romania,86.18,85.84,61.64,61.75,13.82,14.16,51.65,51.71,21.26,19.92,56.99,53.49,66.74,62.05
RUS,Russian Federation,88.68,90.68,71.48,74.61,11.32,9.32,71.19,70.85,23.42,27.65,61.65,67.77,53.27,56.96
SGP,Singapore,91.87,77.14,72.51,49.87,8.13,22.86,75.39,49.97,25.30,17.46,50.00,37.94,66.48,56.07
THA,Thailand,95.58,95.80,74.46,80.17,4.42,4.20,66.87,68.54,29.16,33.17,51.34,56.42,84.74,81.04
TUN,Tunisia,96.91,96.68,86.65,84.26,3.09,3.32,81.09,83.49,25.11,24.92,80.43,71.15,86.20,77.08
TUR,Turkiye,95.61,91.08,84.35,77.34,4.39,8.92,76.36,70.02,31.35,32.68,78.94,65.65,75.82,75.57
UKR,Ukraine,86.05,84.21,63.64,65.55,13.95,15.79,61.00,56.51,17.07,24.77,56.87,55.89,57.40,61.82
USA,United States,55.86,50.22,28.84,26.15,44.14,49.78,38.87,35.31,6.79,8.62,14.75,13.90,33.89,30.78
URY,Uruguay,77.46,60.78,39.56,22.36,22.54,39.22,31.68,31.57,9.65,5.24,35.34,18.24,54.38,44.34
ZWE,Zimbabwe,99.47,98.62,84.20,78.25,0.53,1.38,77.47,62.17,15.20,14.32,55.20,55.39,95.93,95.62