ISO3,Country or territory,GNSI1W6,GNSI1M6,GNSI1W7,GNSI1M7,GNSI2W6,GNSI2M6,GNSI2W7,GNSI2M7,NBW6,NBM6,NBW7,NBM7
ARG,Argentina,69.05,73.47,69.71,74.33,35.06,45.41,31.85,38.50,30.95,26.53,30.29,25.67
ARM,Armenia,92.44,98.71,90.42,95.27,74.28,92.56,68.42,82.25,7.56,1.29,9.58,4.73
AUS,Australia,37.06,53.17,29.05,43.26,15.34,30.73,9.98,23.41,62.94,46.83,70.95,56.74
BRA,Brazil,89.38,90.47,84.17,84.78,45.91,59.53,43.09,52.66,10.62,9.53,15.83,15.22
CHL,Chile,70.49,78.13,76.39,83.41,33.02,52.33,45.88,59.51,29.51,21.87,23.61,16.59
CHN,China,89.89,95.77,90.04,93.97,66.62,76.19,63.61,74.30,10.11,4.23,9.96,6.03
COL,Colombia,91.63,91.47,92.76,89.61,54.33,60.60,58.29,59.74,8.37,8.53,7.24,10.39
CYP,Cyprus,77.78,86.08,77.50,83.75,46.26,61.48,52.27,64.00,22.22,13.92,22.50,16.25
ECU,Ecuador,93.15,93.60,91.41,92.83,55.30,62.46,59.60,64.34,6.85,6.40,8.59,7.17
DEU,Germany,50.41,65.05,33.06,42.12,22.02,35.16,9.96,16.79,49.59,34.95,66.94,57.88
HKG,"Hong Kong, China (SAR)",86.57,89.09,78.43,83.14,55.22,63.70,50.18,61.44,13.43,10.91,21.57,16.86
IRQ,Iraq,95.27,100.00,98.12,99.83,82.99,98.28,90.41,95.62,4.73,0.00,1.88,0.17
JPN,Japan,69.01,74.42,54.44,64.17,45.61,51.36,31.21,38.61,30.99,25.58,45.56,35.83
JOR,Jordan,99.65,99.49,98.10,98.81,96.19,95.91,89.83,94.74,0.35,0.51,1.90,1.19
KAZ,Kazakhstan,94.59,97.81,91.26,95.68,72.63,85.86,71.40,82.73,5.41,2.19,8.74,4.32
KOR,Korea (Republic of),81.99,88.67,86.83,93.08,55.72,67.26,70.06,80.40,18.01,11.33,13.17,6.92
KGZ,Kyrgyzstan,96.29,97.23,97.44,98.99,80.93,88.90,88.12,91.71,3.71,2.77,2.56,1.01
LBN,Lebanon,94.58,97.53,93.07,97.95,78.16,87.29,71.45,85.79,5.42,2.47,6.93,2.05
LBY,Libya,99.30,99.90,99.44,100.00,88.76,97.87,85.69,95.81,0.70,0.10,0.56,0.00
MYS,Malaysia,97.31,99.70,99.69,99.39,82.44,94.01,84.66,90.34,2.69,0.30,0.31,0.61
MEX,Mexico,88.13,87.27,88.89,91.27,49.12,52.57,58.49,60.53,11.87,12.73,11.11,8.73
MAR,Morocco,96.39,99.51,90.83,96.50,70.36,95.39,68.83,81.33,3.61,0.49,9.17,3.50
NLD,Netherlands,30.10,46.13,27.21,34.41,11.50,18.10,7.66,15.01,69.90,53.87,72.79,65.59
NZL,New Zealand,37.34,49.60,23.16,32.73,14.88,26.19,5.63,12.42,62.66,50.40,76.84,67.27
NGA,Nigeria,99.54,99.89,99.13,100.00,91.96,96.96,89.02,97.03,0.46,0.11,0.87,0.00
PAK,Pakistan,99.81,100.00,100.00,99.79,97.53,99.16,98.35,98.65,0.19,0.00,0.00,0.21
PER,Peru,87.50,90.89,88.03,88.96,48.27,55.39,44.72,55.07,12.50,9.11,11.97,11.04
PHL,Philippines,99.00,98.99,99.67,99.33,84.00,91.11,89.80,91.09,1.00,1.01,0.33,0.67
ROU,Romania,84.27,88.56,82.15,91.65,58.70,65.29,54.66,72.91,15.73,11.44,17.85,8.35
RUS,Russian Federation,84.28,94.40,87.02,96.02,64.27,80.88,68.00,84.25,15.72,5.60,12.98,3.98
SGP,Singapore,90.19,93.91,76.59,77.78,70.03,75.54,47.12,53.06,9.81,6.09,23.41,22.22
THA,Thailand,96.46,94.78,95.18,96.43,73.32,75.76,78.46,82.00,3.54,5.22,4.82,3.57
TUN,Tunisia,93.82,99.47,95.08,98.53,76.97,94.69,79.84,89.36,6.18,0.53,4.92,1.47
TUR,Turkiye,94.39,96.87,88.45,93.65,79.14,89.65,71.42,83.12,5.61,3.13,11.55,6.35
UKR,Ukraine,81.80,92.32,80.91,89.19,55.44,75.74,58.85,75.68,18.20,7.68,19.09,10.81
USA,United States,52.31,59.63,50.69,49.81,24.72,33.20,25.04,27.10,47.69,40.37,49.31,50.19
URY,Uruguay,78.05,76.82,60.20,62.03,36.59,42.86,21.18,24.89,21.95,23.18,39.80,37.97
ZWE,Zimbabwe,99.51,99.42,98.80,98.44,79.14,90.14,74.87,81.66,0.49,0.58,1.20,1.56